# Track glossary — `Tibetan term<TAB>rendering`, auto-loaded by gm_translate.py.
# Proper names pinned by gm_names.py --propose (gemini-3.1-pro-preview); one spelling each.
ཨོ་རྒྱན	Oḍḍiyāna
ཨུ་རྒྱན	Oḍḍiyāna
པདྨ་འབྱུང་གནས	Liên Hoa Sanh
གུ་རུ་རིན་པོ་ཆེ	Guru Rinpoche
ཐོད་ཕྲེང་རྩལ	Thötreng Tsal
ཚེ་དཔག་མེད	Vô Lượng Thọ
འོད་དཔག་མེད	A Di Đà
སྤྱན་རས་གཟིགས	Quán Thế Âm
འཇམ་དཔལ་དབྱངས	Văn Thù
འཇམ་དཔལ	Văn Thù
# སྒྲོལ་མ: overridden by hand 2026-09-06 — the track (and its stamped title) already uses Độ Mẫu throughout.
སྒྲོལ་མ	Độ Mẫu
ཕྱག་ན་རྡོ་རྗེ	Kim Cang Thủ
ཤཱཀྱ་ཐུབ་པ	Thích Ca Mâu Ni
རྡོ་རྗེ་འཆང	Kim Cang Trì
རྡོ་རྗེ་སེམས་དཔའ	Kim Cang Tát Đỏa
ཀུན་ཏུ་བཟང་པོ	Phổ Hiền
བྱམས་པ	Di Lặc
རྟ་མགྲིན	Hayagrīva
ཙོང་ཁ་པ	Tsongkhapa
བློ་བཟང་གྲགས་པ	Lobsang Drakpa
མི་ལ་རས་པ	Milarepa
ཡེ་ཤེས་མཚོ་རྒྱལ	Yeshe Tsogyal
ཆེ་མཆོག	Chemchok
དགའ་རབ་རྡོ་རྗེ	Garab Dorje
ཤཱནྟ་རཀྵི་ཏ	Śāntarakṣita
ཞི་བ་འཚོ	Śāntarakṣita
ཁྲི་སྲོང་ལྡེའུ་བཙན	Trisong Detsen
ཁྲི་སྲོང་ལྡེ་བཙན	Trisong Detsen
བི་མ་ལ་མི་ཏྲ	Vimalamitra
ཀློང་ཆེན	Longchenpa
ཨ་ཏི་ཤ	Atiśa
བསམ་ཡས	Samye
ཟངས་མདོག་དཔལ་རི	Zangdok Palri
ཛམྦུ་གླིང	Diêm Phù Đề
བོད་ཡུལ	Tây Tạng
བོད	Tây Tạng
# Added 2026-09-07 after the corpus spot-reads: a source spelling variant, the ཨེ་མ་ཧོ interjection.
ཐོད་འཕྲེང་རྩལ	Thötreng Tsal
ཨེ་མ་ཧོ	Emaho
